"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PC","Percentage","0","Units",,,48,"B","Break"
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PC","Percentage","0","Units",,,49.15,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PC","Percentage","0","Units",,,46.2,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PC","Percentage","0","Units",,,44.225,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PC","Percentage","0","Units",,,42.625,"B","Break"
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PC","Percentage","0","Units",,,41.125,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PC","Percentage","0","Units",,,39.325,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PC","Percentage","0","Units",,,38.1,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PC","Percentage","0","Units",,,36.425,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PC","Percentage","0","Units",,,34.9,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PC","Percentage","0","Units",,,33.775,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PC","Percentage","0","Units",,,32.675,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PC","Percentage","0","Units",,,31.625,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PC","Percentage","0","Units",,,31.25,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PC","Percentage","0","Units",,,31.2,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PC","Percentage","0","Units",,,30.95,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2016","2016","PC","Percentage","0","Units",,,30.8,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2017","2017","PC","Percentage","0","Units",,,31.175,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2018","2018","PC","Percentage","0","Units",,,31.4,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,31.025,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,32.425,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,30.325,,
"ESP","Spain","LRIN64FE","Inactivity rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,30.05,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PC","Percentage","0","Units",,,21.175,"B","Break"
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PC","Percentage","0","Units",,,21.575,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PC","Percentage","0","Units",,,20.75,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PC","Percentage","0","Units",,,19.975,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PC","Percentage","0","Units",,,19.7,"B","Break"
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PC","Percentage","0","Units",,,19.075,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PC","Percentage","0","Units",,,18.75,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PC","Percentage","0","Units",,,18.65,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PC","Percentage","0","Units",,,18.425,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PC","Percentage","0","Units",,,19.175,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PC","Percentage","0","Units",,,19.35,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PC","Percentage","0","Units",,,19.6,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PC","Percentage","0","Units",,,19.925,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PC","Percentage","0","Units",,,20.225,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PC","Percentage","0","Units",,,20.45,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PC","Percentage","0","Units",,,20.475,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2016","2016","PC","Percentage","0","Units",,,20.825,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2017","2017","PC","Percentage","0","Units",,,21.075,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2018","2018","PC","Percentage","0","Units",,,21.175,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,21.425,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,23.1,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,22.2,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,21.825,,
